,date,username,tweet
28,2023-05-30 23:55:50+00:00,YusraMahendra09,"RT @Been4Q59: .
.

JAGA DIRI, JANGAN MATI, SETELAH PILPRES ADA GALA DINNER 🤭

https://t.co/6pgjh9NpgN

Denny Indrayana Cawe-cawe https://t.…"
29,2023-05-30 23:55:49+00:00,thaufiki1989,"RT @tempodotco: Soal Pengakuan Jokowi Cawe-cawe Pilpres 2024, Sebelumnya Kok Bilang Tidak Cawe-cawe #TempoNasional https://t.co/dRnf9HAuis"
30,2023-05-30 23:55:48+00:00,Firman51313785,"RT @AnKiiim_: Presiden Erdogan dikalahkan Survei namun dimenangkan oleh suara rakyat Turkey  🥳
Semoga hal yang sama jg dialami oleh Bapak A…"
31,2023-05-30 23:55:44+00:00,misacavoex,"RT @marlina_idha: Denny Indrayana: Anies Akan Gagal Maju di Pilpres 2024, Bila MA Menangkan PK Moeldoko ke Demokrat

Segala cara!🙄 https://…"
32,2023-05-30 23:55:24+00:00,02fc71ba00c2451,"RT @AndiSinulingga: 2014 kita dukung Jokowi mah biasa aja, tak ada yg krusial, itu game biasa saja. Rakyat sudah beri kepercayaan 2 kali, y…"
33,2023-05-30 23:55:24+00:00,kontrakansiap,"RT @PartaiSocmed: Cawe-cawe yang dimaksud, menurut Jokowi, tentu masih dalam koridor aturan dan tidak akan melanggar undang-undang. 

*kare…"
34,2023-05-30 23:55:18+00:00,misacavoex,"RT @JarnasABWBpn: Harapan Anies Baswedan untuk Pilpres dan Pemilu 2024 ini ❤️

Kami yakin semua warga negara Indonesia yang baik akan mendu…"
35,2023-05-30 23:54:56+00:00,john_tor12,"RT @tempodotco: Soal Pengakuan Jokowi Cawe-cawe Pilpres 2024, Sebelumnya Kok Bilang Tidak Cawe-cawe #TempoNasional https://t.co/dRnf9HAuis"
36,2023-05-30 23:54:53+00:00,Elmirakid,"RT @tvOneNews: Gaji PNS Naik Jelang Pilpres 2024, Pengamat Nilai Langkah Jokowi Sangat Kental Bermuatan Politik https://t.co/Oa7Zi1QmOl"
37,2023-05-30 23:54:44+00:00,asep_hidayat77,"RT @dennyindrayana: https://t.co/t0h9Vo1eUD 

Saya terhormat diwawancara (lagi) oleh dua legend ini, Mas BW (@KataBewe) dan Mas Novel (@naz…"
38,2023-05-30 23:54:12+00:00,ramlimudzi25400,"RT @dennyindrayana: https://t.co/t0h9Vo1eUD 

Saya terhormat diwawancara (lagi) oleh dua legend ini, Mas BW (@KataBewe) dan Mas Novel (@naz…"
39,2023-05-30 23:54:06+00:00,Agus19601598,"RT @BosPurwa: Beda dengan PDIP, Demokrat Tegaskan Presiden Harus Netral dalam Pilpres 2024 https://t.co/xXUgvO4FAg

Demokrat jan ngaku-ngak…"
40,2023-05-30 23:53:44+00:00,maha_sakti,"@PDemokrat Sepertinya pak jokowi head to head dg pak sby di pilpres 2024, demokrat bisa aja"
41,2023-05-30 23:53:26+00:00,tutiktolani,"RT @tvOneNews: Gaji PNS Naik Jelang Pilpres 2024, Pengamat Nilai Langkah Jokowi Sangat Kental Bermuatan Politik https://t.co/Oa7Zi1QmOl"
42,2023-05-30 23:53:08+00:00,Margono_eMGe,"RT @marlina_idha: Denny Indrayana: Anies Akan Gagal Maju di Pilpres 2024, Bila MA Menangkan PK Moeldoko ke Demokrat

Segala cara!🙄 https://…"
43,2023-05-30 23:53:03+00:00,GoRiauCom,"Cawe-cawe di Pilpres 2024, Jokowi Dinilai Merusak Demokrasi Terang-terangan https://t.co/GnWb12xplw"
44,2023-05-30 23:53:00+00:00,Margono_eMGe,"RT @abwnews_: Alasan Relawan di Jawa Timur Dukung Anies di Pilpres 2024, Salah Satunya Rekam Jejak Positif sebagai Pejabat

https://t.co/mg…"
45,2023-05-30 23:52:48+00:00,feerzylant,RT @OposisiCerdas: Jokowi Cawe-cawe Pilpres karena Penasaran Ingin Kalahkan Anies https://t.co/flgfNMgaCF
46,2023-05-30 23:52:39+00:00,feerzylant,"RT @hc_poirot: anies tidak kaget dgn pernyataan jokowi yg ikut cawe² dlm proses pilpres, karena pada hakekatnya anies sudah merasakan penje…"
47,2023-05-30 23:52:36+00:00,Cahpulogadung,"RT @dennyindrayana: https://t.co/t0h9Vo1eUD 

Saya terhormat diwawancara (lagi) oleh dua legend ini, Mas BW (@KataBewe) dan Mas Novel (@naz…"
48,2023-05-30 23:52:33+00:00,erwinr80,RT @Naz_lira: Strategi politik memoles citra Gibran memang sudah diploting sejak pelantikan menjadi walikota Solo 2021 untuk tujuan Jurkam…
49,2023-05-30 23:52:32+00:00,Margono_eMGe,"RT @AndiSinulingga: 2014 kita dukung Jokowi mah biasa aja, tak ada yg krusial, itu game biasa saja. Rakyat sudah beri kepercayaan 2 kali, y…"
50,2023-05-30 23:52:20+00:00,vanc1Bozz,"RT @rahmaniarbaftim: @vanc1Bozz Makanya jgn lupa pilpres 2024, hrs pilih pemimpin yg cerdas, agar rakyat tdk dibuat gila dgn kebijakan yg t…"
51,2023-05-30 23:52:08+00:00,rahmaniarbaftim,"@vanc1Bozz Makanya jgn lupa pilpres 2024, hrs pilih pemimpin yg cerdas, agar rakyat tdk dibuat gila dgn kebijakan yg tdk populer. 

Selamat pagi Indonesia https://t.co/65G7eoxnwQ"
52,2023-05-30 23:52:04+00:00,6ikhtiar,RT @tempodotco: Presiden Jokowi Akui Tak Akan Netral Pada Pilpres 2024 https://t.co/qNJnTnrgr2
53,2023-05-30 23:52:00+00:00,fadyahrismaaul,Elite Golkar Bicara Kans Duet Prabowo-Airlangga di Pilpres 2024. pilpres2024 dekade08 mendingprabowo terusmajubersamaprabowo
54,2023-05-30 23:51:49+00:00,PRABU_KLITI,RT @Naz_lira: Strategi politik memoles citra Gibran memang sudah diploting sejak pelantikan menjadi walikota Solo 2021 untuk tujuan Jurkam…
55,2023-05-30 23:51:34+00:00,CHaendrajit,"RT @PDemokrat: Unggul Dari Pasangan Lain, Demokrat: Pasangan Anies-AHY Punya Kans Besar Menangkan Pilpres 2024

""Anies-AHY berpasangan itu…"
56,2023-05-30 23:51:27+00:00,Zahrafaiza,"RT @tvOneNews: Gaji PNS Naik Jelang Pilpres 2024, Pengamat Nilai Langkah Jokowi Sangat Kental Bermuatan Politik https://t.co/Oa7Zi1QmOl"
57,2023-05-30 23:51:21+00:00,URabelli2,"RT @AndiSinulingga: 2014 kita dukung Jokowi mah biasa aja, tak ada yg krusial, itu game biasa saja. Rakyat sudah beri kepercayaan 2 kali, y…"
58,2023-05-30 23:51:17+00:00,Firman51313785,"RT @kurusetra91: Jokowi yth, ap tdk lbh bgus anda ntral, biarkan rakyat yg mmilih ssuai keinginan mrk ?! anda ktakutan sndri ats dosa, ksal…"
59,2023-05-30 23:51:17+00:00,FullGoso76,"RT @dennyindrayana: https://t.co/t0h9Vo1eUD 

Saya terhormat diwawancara (lagi) oleh dua legend ini, Mas BW (@KataBewe) dan Mas Novel (@naz…"
60,2023-05-30 23:51:16+00:00,Qomar2510,"RT @dennyindrayana: https://t.co/t0h9Vo1eUD 

Saya terhormat diwawancara (lagi) oleh dua legend ini, Mas BW (@KataBewe) dan Mas Novel (@naz…"
61,2023-05-30 23:50:32+00:00,sri_gunadi,"RT @Been4Q59: .
.

JAGA DIRI, JANGAN MATI, SETELAH PILPRES ADA GALA DINNER 🤭

https://t.co/6pgjh9NpgN

Denny Indrayana Cawe-cawe https://t.…"
62,2023-05-30 23:50:15+00:00,pokpik_knwt,RT @Naz_lira: Strategi politik memoles citra Gibran memang sudah diploting sejak pelantikan menjadi walikota Solo 2021 untuk tujuan Jurkam…
63,2023-05-30 23:50:12+00:00,JaePalsu,"RT @AndiSinulingga: 2014 kita dukung Jokowi mah biasa aja, tak ada yg krusial, itu game biasa saja. Rakyat sudah beri kepercayaan 2 kali, y…"
64,2023-05-30 23:49:54+00:00,sis_bandi,"RT @dennyindrayana: https://t.co/t0h9Vo1eUD 

Saya terhormat diwawancara (lagi) oleh dua legend ini, Mas BW (@KataBewe) dan Mas Novel (@naz…"
65,2023-05-30 23:49:47+00:00,JaePalsu,RT @PresidenKopi: Pramono anung baca berita ini gak ya???? https://t.co/3fBQ6gWkjW
66,2023-05-30 23:49:36+00:00,agaMoga,"RT @PartaiSocmed: Cawe-cawe yang dimaksud, menurut Jokowi, tentu masih dalam koridor aturan dan tidak akan melanggar undang-undang. 

*kare…"
67,2023-05-30 23:49:34+00:00,cemplukrebon,"RT @KepaArgawinata2: Sejak Pilpres 2019 lalu emang banyak Dokter yg jadi Kadrun Pembenci Pemerintah, klo di 2019 lalu dukung Prabowo, tapi…"
68,2023-05-30 23:49:33+00:00,BoesthamiA,"RT @dennyindrayana: https://t.co/t0h9Vo1eUD 

Saya terhormat diwawancara (lagi) oleh dua legend ini, Mas BW (@KataBewe) dan Mas Novel (@naz…"
69,2023-05-30 23:49:29+00:00,azibani21,"RT @abwnews_: Alasan Relawan di Jawa Timur Dukung Anies di Pilpres 2024, Salah Satunya Rekam Jejak Positif sebagai Pejabat

https://t.co/mg…"
70,2023-05-30 23:49:25+00:00,feerzylant,"RT @tvOneNews: Gaji PNS Naik Jelang Pilpres 2024, Pengamat Nilai Langkah Jokowi Sangat Kental Bermuatan Politik https://t.co/Oa7Zi1QmOl"
71,2023-05-30 23:48:48+00:00,CamrySlamet,RT @Naz_lira: Strategi politik memoles citra Gibran memang sudah diploting sejak pelantikan menjadi walikota Solo 2021 untuk tujuan Jurkam…
72,2023-05-30 23:48:43+00:00,MelasAgus1,"RT @dennyindrayana: https://t.co/t0h9Vo1eUD 

Saya terhormat diwawancara (lagi) oleh dua legend ini, Mas BW (@KataBewe) dan Mas Novel (@naz…"
73,2023-05-30 23:48:31+00:00,kkvrindhavan,RT @OposisiCerdas: Jokowi Cawe-cawe Pilpres karena Penasaran Ingin Kalahkan Anies https://t.co/flgfNMgaCF
74,2023-05-30 23:48:29+00:00,WiyonoHw,@dennyindrayana @KataBewe @nazaqistsha Teruslah perjuangkan  arah yg benar menuju  pilpres yg jurdil di 2024.  Satukan kekuatan dg tokoh nasional.
75,2023-05-30 23:47:54+00:00,venny_bp,"RT @dennyindrayana: https://t.co/t0h9Vo1eUD 

Saya terhormat diwawancara (lagi) oleh dua legend ini, Mas BW (@KataBewe) dan Mas Novel (@naz…"
76,2023-05-30 23:47:32+00:00,IwanKurus8,"RT @dennyindrayana: https://t.co/t0h9Vo1eUD 

Saya terhormat diwawancara (lagi) oleh dua legend ini, Mas BW (@KataBewe) dan Mas Novel (@naz…"
77,2023-05-30 23:47:13+00:00,joyo_kacer,"RT @dennyindrayana: https://t.co/t0h9Vo1eUD 

Saya terhormat diwawancara (lagi) oleh dua legend ini, Mas BW (@KataBewe) dan Mas Novel (@naz…"
78,2023-05-30 23:46:42+00:00,Harianreportas3,"RT @tvOneNews: Gaji PNS Naik Jelang Pilpres 2024, Pengamat Nilai Langkah Jokowi Sangat Kental Bermuatan Politik https://t.co/Oa7Zi1QmOl"
79,2023-05-30 23:46:08+00:00,ChechYogu,"RT @dennyindrayana: https://t.co/t0h9Vo1eUD 

Saya terhormat diwawancara (lagi) oleh dua legend ini, Mas BW (@KataBewe) dan Mas Novel (@naz…"
80,2023-05-30 23:45:56+00:00,ANDALASHUSNI,RT @satriohendri: Pak Jokowi cawe-cawe di Pilpres 2024 cuma karena penasaran? #Hensat https://t.co/WVmFkVlGxj
81,2023-05-30 23:45:39+00:00,fajriNB,"RT @PartaiSocmed: Cawe-cawe yang dimaksud, menurut Jokowi, tentu masih dalam koridor aturan dan tidak akan melanggar undang-undang. 

*kare…"
82,2023-05-30 23:45:19+00:00,afdaleffendi,"RT @PartaiSocmed: Cawe-cawe yang dimaksud, menurut Jokowi, tentu masih dalam koridor aturan dan tidak akan melanggar undang-undang. 

*kare…"
83,2023-05-30 23:45:13+00:00,kkvrindhavan,RT @Naz_lira: Strategi politik memoles citra Gibran memang sudah diploting sejak pelantikan menjadi walikota Solo 2021 untuk tujuan Jurkam…
84,2023-05-30 23:45:05+00:00,kmadytiab,"RT @PartaiSocmed: Cawe-cawe yang dimaksud, menurut Jokowi, tentu masih dalam koridor aturan dan tidak akan melanggar undang-undang. 

*kare…"
