,usename,count
158,qwpinxzlwfopd,2
159,hiidipp,1
160,SaputoWijoyo,1
161,btrxnoozy,1
162,xanatomix,1
163,Elepan12,1
164,Bila605678,1
165,andre_rosiade,2
166,caritaucom,63
167,HermanBudiSant4,20
168,MbakPuan_2024,96
169,Shalihin_NAD,9
170,jacky_chen2,1
171,mindlipstick,6
172,seruanhl,104
173,Jje9991,2
174,indeks_politika,3
175,kang_ellon,6
176,se_nyerang,1
177,Edelweis_jesi,4
178,Bandunghardcom,4
179,hadiyat_aria,1
180,tonaytoni1,84
181,nandosony,1
182,WildanPoco,8
183,AHY_Galery,10
184,kinasih_sa,5
185,WartaEkonomi,644
186,Eka_Dutajaladri,59
187,shmustofayahoo1,1
188,radarjogja,4
189,BobbyDarmanto27,58
190,JatengPD,97
191,RencangAH,15
192,caloproperty,4
193,DpwEtor,3
194,Urrangawak,38
195,radarsolo_id,3
196,Mi9aWempy,2
197,SahabatGanjarGK,2
198,pinterpolitik,14
199,damaiharilubis6,10
200,dpcdemokrat_s,5
201,Genpi_Co,286
202,mediapemberani,1
203,BournAgainShell,1
204,dedenkomarr,1
205,danisuhendarrx,1
206,YRadianto,11
207,lee_joonnie,1
208,Roytar1,18
209,kompascom,266
210,Faradil03,4
211,idrusm_,1
212,FaldySuaka,1
213,Syarifkasim9,1
214,pipin1n,1
215,jelajah4e4,1
216,autokrat_not,2
217,FeniMelfiana,1
218,MulyantoAdi3,1
219,madularang,4
220,actual4e4,1
221,indozonemedia,105
222,BwSahar,2
223,politiknesiacom,2
224,onekrisnata_,4
225,update4e4,1
226,sahabatganjar,36
227,InstituteLRMP,1
228,Aryprasetyo85,265
229,Rosalindlinda1,2
230,DamaDesri,1
231,rmol_id,86
232,biruhitam_08,6
233,DKliktivisme,2
234,KefanSteward4,25
235,RatuKampung,2
236,2001Tgk,25
237,fadhlierlanda,11
238,rakyatinfo7,3
239,dpcpdkotacrb,4
240,heraldindo,197
241,Adibalover_19,1
242,Ryan_Al_Faqir,1
243,DemokratKlaten,29
244,LamonganPkb,27
245,Rakyatsatu_com,2
246,ulam_yot,1
247,rmp_officials,273
248,dalimi_h,3
249,deniangria,2
250,Suarajelata1,5
251,Bisniscom,177
252,BAriyatama,19
253,serakyut,10
254,kharism79,2
255,ganjargayeng,31
256,bungalotus25,1
257,AfifahLika,1
258,SandyAgustina4,1
259,Indopolitika,449
260,chaterine_8,93
261,FirzaHusainID,61
262,CKorinisa,2
263,BahranNizar,1
264,sebhayu,3
265,halaucovid,3
266,JasaLeonal,1
267,cemilannasikk,4
268,IWMawardi,4
269,detikcom,654
270,SupomoYanto,2
271,IDNTimes,61
272,MusaRudy_Stpl,98
273,heryawan_g,61
274,raffaelfrin,1
275,yusrnarieff,1
276,abosamsul,1
277,aryodarmaw,1
278,akbarryaz,93
279,demokratkebumen,16
280,HeraldKalsel,6
281,RudySus29585566,17
282,chusnuIch_,10
283,resturmdh,1
284,sutingsih,1
285,ArlisaYatna,1
286,IndrianiWulan2,1
287,selishsa,1
288,ittmktechnology,1
289,M4TT4_,3
290,NoorMuzani,6
291,mofaisalakbar,1
292,abi_sasaLL,133
293,DM_N4BYL,146
294,Carlamaya_,4
295,tribunmaduracom,1
296,medcom_id,152
297,juhari_aja,2
298,okezonenews,122
299,detik_jatim,53
300,Demokrat_TV,7
301,pnugroho28,88
302,Anggita_lung,3
303,RizkiR4madani,85
304,Aprilia_wiji,244
305,sigitpu19059293,1
306,malikah65367056,2
307,gatotsuhiro,114
308,EffrataRaya,17
309,LeRidoan,2
310,DahrinOde,9
311,Jokoyu,3
312,WarnaiNusa,3
313,Yusup_cianjur1,1
314,BaimHue,32
315,Romijuliwanda,4
316,tribunjogja,186
317,Nofriza48298774,1
318,58O94,169
319,tatutsupriyant4,1
320,talkaboutthis__,10
321,Democrazy___id,1
322,GoRiauCom,28
323,kumparan,343
324,Kuyangpargoyy,53
325,sicimilikiti,68
326,_Umamlik,5
327,news_wanheart,322
328,MilenialSamaAH,5
329,deebercerita,1
330,SBHs14p,13
331,bapak_ekonomi,3
332,baqulsosis,62
333,GoSumbarcom,26
334,aSalnJeplak5,2
335,baesz47,3
336,GoNewsdotco,67
337,Malukutoleransi,22
338,kerjabersama_AH,3
339,yuyunhasanah02,22
340,LoveToleransi,114
341,ParasianPjtn,3
342,jondivar,1
343,yowdiyow,1
344,BatamDemokrat,1
345,Rojir0,7
346,OposisiCerdas,369
347,macanutara_,61
348,annsrnss,1
349,putuagenggribig,7
350,yusuf_my1,19
351,BeritakanID_com,109
352,mediaindonesia,132
353,CalonProfesor_,10
354,RizaVT,25
355,AminAtthar,1
356,WakDrES77,3
357,KCethe,1
358,PDemokrat,31
359,tvOneNews,326
360,Vijayari7,1
361,geloraco,280
362,897GlobalRadio,9
363,CeritaAHY_,55
364,Ahmad_Syahid78,3
365,SahabatPDKlaten,11
366,MNCTrijayaBdg,9
367,Bilan1166,4
368,jopang_,52
369,lutfilee05,1
370,anakind130306,4
371,RepelitaO,252
372,terbucinz,111
373,AniesSetiasetia,9
374,Dw99935050Dwi,7
375,jaiIlaspld,1
376,Dejavu_TcDharma,3
377,AbdurahmanRum,2
378,tauberitamedia,305
379,izhy_fly,113
380,NegarakuApa,3
381,AnwarSudibyo1,7
382,Darma2711,48
383,DYS_yes,2
384,MichelAdam5l5,5
385,BudiSet83586061,1
386,MashaNdeber,5
387,nusabalicom,222
388,alhusain77,3
389,johnlordds,1
390,itsamareguzel,5
391,wilsonsitorus,1
392,JkJanatun,1
393,cenul_kw,2
394,GenMediaNetwork,53
395,republikaonline,222
396,SalimCipok,6
397,AgusValentinos4,2
398,GPJateng,3
399,HafshahWahyuni,2
400,MangDjanaBdg,18
401,LekMarteg,5
402,Projo_Pusat,3
403,rudinyot3,1
404,AminaAnnisa,1
405,RihanNabilah1,1
406,anadian_safitri,1
407,YundiAngga,1
408,andika_ridh,1
409,asma_aqila,1
410,AbqarIrwan,1
411,jarudin59,3
412,eko_alaya,2
413,khorimkarim,1
414,Nailazaara__,196
415,ibeng9152,1
416,Jarikmerahputih,7
417,KaribGanjarYK,39
418,hero212142,1
419,MuhammadJafarK4,4
420,Arawindaa_,10
421,muttaqien1962y1,9
422,Kayshilaa_,6
423,TriandaAgustus,1
424,Carisaa__,7
425,susanta829,2
426,balad_kangasep,6
427,GRANDFATHER_71,30
428,BakomstraKota,10
429,NDUT_GEMES,15
430,B3Y31,47
431,Tari90674550,1
432,ElinHerlinawa14,3
433,igor_dirgantara,4
434,Maha_Bhisma,2
435,Inspa_Bangsa,1
436,SwaraPita,7
437,AlphaReborn00,1
438,Mustopa54537862,1
439,p_priyambodo,1
440,BangEdiii,3
441,Gunawanovix,1
442,gelas_bambu_,71
443,topeng_politik,47
444,Lintas_MNCTV,27
445,RMOLJatim_id,117
446,HasaniHasanudin,2
447,Sarahjosuaddic1,3
448,annozaen,5
449,pahlevi0884,17
450,SatriaPembaharu,2
451,BebalBoy,1
452,kinantiayank,108
453,Rep_Indonesia1,8
454,ukie__luke,5
455,SyamsirHMSyari2,7
456,Tata_3998,42
457,UgeugL,8
458,cak_daus,1
459,Mulyawans07gma2,4
460,mharfad354,1
461,BudiNafa,1
462,yangmi3prnew,40
463,merdekadotcom,150
464,JanNgibulan,1
465,HestiBambang,111
466,FaNiagapersada,1
467,mad_pecci,1
468,Baranewsaceh,14
469,Andreansyah_088,110
470,pxncing,13
471,MagviraRA,1
472,viramiaw17,1
473,PelitaIDN,2
474,AYudtiono,1
475,ryanachmad__,1
476,Jhonkosmik,21
477,ervin_larasati,318
478,Diraaliyaaa,4
479,dylangocek,2
480,adelarpakkuraga,6
481,baliandra2,13
482,PUANnews,362
483,saeroyi27,1
484,Kohun21,1
485,suprihtm,25
486,ToxicDo666,6
487,TonoMessiah,11
488,Suara_Pantau,12
489,Daqiee,2
490,Deanna_51,9
491,taufiQrizQi79,1
492,DumpalCandi17,27
493,putunesoekarno,8
494,Ieonidasv,1
495,arafah_5,9
496,BuchroniK,3
497,soesadh,1
498,SeputarAHY,31
499,charlesgaspoul,18
500,NINNAid,8
501,Hartley_62,16
502,john_wick1977,1
503,aly_benzema,2
504,terkinidotid,136
505,Dony_YNWA,1
506,RickyDiningrat1,15
507,tyarmaulanabach,1
508,Endahwu19,98
509,Connie_9a,8
510,jsndbrjj,20
511,cupasyalala,34
512,AshefBholang,34
513,mihrabku,9
514,Hana_Andersen,6
515,RumahKitaJatim,12
516,KiaPutriza,3
517,BizlawIndonesia,62
518,YophYoph,61
519,Ciripaa_,65
520,dadang2505,2
521,maukue7,1
522,Salmamrym,1
523,mauroti10,1
524,keuangannews_id,144
525,RuangGanjar_,3
526,ganjarbaik2,5
527,ZiaMasayu,1
528,emakemaksandi,1
529,GuysSandi,1
530,elmahfudzi,2
531,AxelAzarya,25
532,KATADATAcoid,36
533,garis62,5
534,PemimpinNegeri,2
535,PedomanRakyat,14
536,inilahdotcom,239
537,politikngaji2,2
538,wa_one1,1
539,GTVID_News,48
540,SeputariNews,36
541,radaraktual,158
542,OfficialiNewsTV,66
543,putribungsu_16,75
544,inewsdotid,44
545,edipurwanto_13,20
546,RoidofiM,2
547,JoeWongJava1,2
548,Bamus_betawi,6
549,kriss_giantoro,1
550,NusBhisma,2
551,AmirDemokrat,79
552,MNCupdate,40
553,Bangkit55489150,4
554,CaryantoAwuy,10
555,jelata_jeritan,1
556,bemyheal,103
557,Nawal_Alawiyyah,1
558,HinataAgustus,1
559,igoen_anindya,2
560,HeriSuwondo2,9
561,MerapiW,6
562,VAwinawan,1
563,aan_muba,34
564,tareqAzizii,4
565,Dullah46440634,9
566,Happy20122000,1
567,KJeudine,4
568,NadiyaSastra,1
569,Stafyy1,1
570,kuninganreligi,6
571,DoniIndraawan,205
572,Wennyy121,1
573,Rasyafarasya5,1
574,Aisway_a,1
575,AHSANFURQANIB13,4
576,brader_akbar,2
577,AnggiP31141274,4
578,itorazak,1
579,g_politik2024,53
580,Dpckotakendari,1
581,parwatyRizky,37
582,khojan_x_x,1
583,HeinsbergGeorge,3
584,mulanbilqis,100
585,_jhyne,1
586,Riska_ibusaLsa,13
587,karmuji_ndes,2
588,abu_waras,51
589,jonsa61664335,90
590,saaleepp88,2
591,RustamIbrahim,62
592,Cantika2703,1
593,PGekyun,3
594,sannnn212,1
595,AgniJeri,1
596,sonyakei_,4
597,papiiga1,1
598,Omacha9,1
599,diniafril2,1
600,adinataa20,2
601,itsmiiyh,1
602,AgeLeoni,1
603,vallcutiee,1
604,gadisnurani11,1
605,Rimaaringga,1
606,flavyaestonia,1
607,agnianggari2,1
608,Al_Aslan20,1
609,Heather77908472,1
610,dwwd2pfc03vqv,1
611,46etme,1
612,Kasisi45,1
613,emaxsd3x5lhxx,1
614,UjuArbai,1
615,mimaa227,1
616,melont_mass,1
617,Zia_aziza6,1
618,jo_anezt,30
619,Kingqiu_,1
620,AshleyC5s2,1
621,DinarAlexa1,1
622,wrizten,1
623,kelly_kim9,1
624,Putisari7,1
625,kokikibo,1
626,yoginhives1034,1
627,wise_leejo,1
628,Z4ahwan,1
629,Miss3lok,2
630,winistuff,2
631,ibaal_ibul,1
632,AmbarsariTania,1
633,K_Citrakala,1
634,daisyflowz,1
635,Shakila5dt,1
636,Ta________a__,1
637,Tinasir600,2
638,darmabiruxz,1
639,ashillazmt,2
640,kidungceritta,7
641,lushlyutopia91,1
642,dianaay60574204,1
643,Bangjogo1,1
644,tinimurtinah,1
645,kudiati,1
646,TriSun47,1
647,akuindahdwi,1
648,SadinaAlexa,2
649,eriaoreo,1
650,pembela_K243,1
651,Kalderha,1
652,strawhatcru,1
653,zuliana_wati,1
654,mayzareh,5
655,priorytas,1
656,Afridiaplome14,1
657,suciqurnia,4
658,Vinacandra14,1
659,AleaaNani,2
660,HidayatOji,1
661,gamelan1f,1
662,jihyoowgf,1
663,farida_farid4,1
664,lusiapras1,1
665,kokbapers,7
666,remimdyy,1
667,JasmineRPix,1
668,IrfandiMarshel,1
669,delnve,1
670,mak_enah,1
671,ewdewdcwe,1
672,Chishe_wd23,3
673,FaleshaTulip33,1
674,vicenzo022,1
675,NemuWarisan,1
676,tulipfornct,1
677,Bang_udiien1,1
678,pentolcwierc38,1
679,sendalhulk,1
680,kanda_abb,3
681,ziyajpg,1
682,sisca_ae,1
683,Bonbon1_2,1
684,unhkoly,1
685,azahra_sidiq,1
686,Mayang05988222,1
687,Zahrahana13,1
688,damaekayanti,1
689,xiynn9_,1
690,Evisievi,3
691,ichigo1654,1
692,cant_rahma,1
693,davka22,1
694,akbar84_,3
695,MentariRi6,1
696,AlmaPutriMaria1,1
697,WildaAr_,2
698,wzound,1
699,SejatiCinta823,1
700,Toha_putraa,1
701,bukannanaslohya,1
702,OpiBrengsek,1
703,litasari95,1
704,pujangxa,1
705,vupiopi,1
706,Franyy51,1
707,Alisya_Li,1
708,rinaier,1
709,mixlktea,2
710,fiaranipi,1
711,AyuAbi_,1
712,hasna_ramaniaa,1
713,G_kandouw,1
714,Boskita11,1
715,MaudyKasmaran,1
716,denkowvanilla,1
717,Mualim45,1
718,MamangBud1,1
719,setiani_wati,1
720,NovaMey6,1
721,mekcudep,1
722,TitisArdini,1
723,Saputriwulan5,1
724,Azkaramadhan00,1
725,restu3_,1
726,GELANGANAKABUS,1
727,NSaras35,1
728,RizalR0mli,1
729,VividTrisnawati,1
730,UlatYa_4,4
731,gresigresa,4
732,tamita4m,1
733,Brownieskue1,1
734,lizzielizzlee,1
735,DiahKur4,1
736,batubata_1,1
737,Ayuxmama1,1
738,ad_llh,1
739,monaxmama,2
740,randinussa,4
741,ivanckak,1
742,indanazulf44,1
743,yuriyunit,2
744,Bubutxx,1
745,s4hara28,3
746,Imeltcl,1
747,Oreo_oreo91,1
748,Boskita12,1
749,guadrd,1
750,januriya88,1
751,Elho_Co,1
752,Erieksame,1
753,BudakSaputro,1
754,Gerihandoko2,1
755,kibokriwill,1
756,Sonianur151,1
757,nawiroh_umu,1
758,odenjio,1
759,nanabanana2304,1
760,cralisnia,2
761,alikanaraa,1
762,nettykiranda,1
763,TereXty2,1
764,Selvia75354710,1
765,AndasariAyu,1
766,MarkEsso8,21
767,sundanga_1,3
768,Slkn0717,9
769,gerindrabaubau,2
770,Bambangelf,69
771,CalmEnrique,3
772,AsamDaun,1
773,IwanPangka02,1
774,NewsJerami,14
775,Torrez_20_06,22
776,03__nakula,146
777,AkiJalanLurus,2
778,IDNTimesJateng,4
779,ruhutsitompul,3
780,_SEKNAS_RI,25
781,jongpas1,1
782,6666Devi,4
783,JuiceQU_Ummi,1
784,Ifat_Id,6
785,arwidodo,20
786,myungsookimx,3
787,amar_Sound3,1
788,BrandonZenda,1
789,kofielake,2
790,Sinarpurnama_,72
791,Ary12_10,7
792,boendasyl,3
793,ViantAntony,12
794,Jhoni0208,5
795,RenonVictor,1
796,RinjaniApreliaa,1
797,gibranleklok,5
798,NovelBamukmin,22
799,Fatchiya5,1
800,MNCNewsroom,45
801,uman_2009,3
802,Perfekto_Ind,1
803,Hyudi15,2
804,BaktiNusantara_,4
805,KaltimBerita,7
806,JakartaNewsID1,50
807,PatiKomStra,155
808,syahputra38991,1
809,kaulahimpianku,3
810,elditweet,11
811,Kenikir27,2
812,santoso_m,1
813,bangsa_radar,1
814,hdw_tahir,1
815,mikhlas22juli,1
816,lingga_susilo,1
817,TuitJabar,2
818,RuriSopyan,19
819,ApaansiRiego,6
820,Thursdajy,19
821,VideoTRIBUN,22
822,yohanesnicolau7,1
823,ayenzodearya,3
824,ManasonNubaton3,1
825,CakBembi,12
826,sayfull46,4
827,PutraAlamsyahJ1,18
828,joniantonioloro,17
829,DemocastTV,29
830,Lilcomons,62
831,AsusAsu21483489,2
832,ArahanBangsa,9
833,Han17121245,1
834,Fawn61285097,1
835,rendyprasetyaz,2
836,merryround3,13
837,DPC_Bangli,1
838,GanjaranApp,110
839,YuriEndah,6
840,De_Liput,24
841,AKU_dgn3putra,10
842,GrsJulius,8
843,DiasGemblunk,1
844,suaradotcom,42
845,ruang_redaksi,3
846,bocqah,15
847,Neng_Anyar,59
848,TetapPuan,25
849,SahabatAHY_,24
850,tegan_diego,3
851,GerakanPis,2
852,Indones47657465,2
853,nephiIaxmus,5
854,Je_N0ng,1
855,RiLovebird,1
856,ganesa4gp,9
857,evamuzdalifah15,3
858,bukan_main_,9
859,SERATUS_P,44
860,Relawananies,70
861,obrolanpublik,38
862,teropongsuara,45
863,ekosepu49052970,1
864,merahputihsuara,41
865,san_ozil,10
866,mickolv_idas,6
867,arXa_d,1
868,uyiksaja,1
869,dekade_08,43
870,TitikTerangNews,4
871,mnctrijaya,30
872,rdi971,2
873,tawajkt,13
874,walinda_wenny,2
875,panwas_wpanji,1
876,PakwieTopan,4
877,dyasbp,1
878,BakomstraTGalek,33
879,baik_23,1
880,Ruhi_Ruhi17,58
881,Doremilah,8
882,purnomowardoyo,22
883,gwabdeeeee,32
884,bersamajuara,7
885,Heryati_08,1
886,JembzCoeey,53
887,bebasbaru,17
888,AndreGa78981078,13
889,ad1permana,1
890,MocangTian,32
891,BenyZamrony,1
892,bukansontoloyo,1
893,G24lampung,2
894,NandaBaskarani,56
895,aswat65285603,2
896,adiastaraya,5
897,udinnsp12,1
898,IciOriza09,8
899,info62id,8
900,MasnaIwan,5
901,RemusLupinTeddy,6
902,kelananga,2
903,dwikiprazz,21
904,YudhistiraDoddy,3
905,LembahArfak,2
906,caul_tanjung,2
907,Anang_soetoyo,1
908,Krissbee19,67
909,biem_tr,4
910,tribunmedan,65
911,MasHen01317000,5
912,Alifamari1,3
913,klikwarta_com,17
914,coklat__maniss,1
915,WatchPms,3
916,Gonggo153,1
917,NurrahmaSlv,1
918,JawaraSantuy,2
919,bungdree,1
920,fiftezn,1
921,tqhose,4
922,trahmangkunega1,1
923,bachrum_achmadi,3
924,voidotid,182
925,colaa_colaaa,1
926,Max20585254,1
927,MenujuIndJaya,3
928,Darrel_Arsenio,2
929,karlina2907,1
930,DhiniCerewet_,1
931,CNNIndonesia,249
932,enoe_pengamen,14
933,ekacahyaalfani2,1
934,matjanmi,1
935,ahmadshrl30,9
936,RK24Official,9
937,beritajatimcom,143
938,Airlangga_nomic,47
939,herirwidjaja,3
940,Ayusafi89,12
941,benuaandin,1
942,korantempo,14
943,bhebob,1
944,DebatSantai,3
945,AhyBangkit,2
946,Ganendra_Rahady,1
947,detik_jabar,57
948,bojonegoropede,10
949,AndangSupra,1
950,rkrijuara,45
951,RepSontoloyo,1
952,GusRachmat,13
953,pilipres24,98
954,KitaHebatcom,12
955,gothed,2
956,KepaArgawinata2,3
957,uriirul234,1
958,PKB_Bojonegoro,8
959,kkmanti,1
960,Askar29984293,5
961,berkahsentosa02,2
962,WqKusuma2,16
963,rahmat_sono,3
964,Midjan_La_2,3
965,B1990SB,2
966,info_jakarta,51
967,adangsetiadana,3
968,gerbang_utama,1
969,NGo2024,13
970,mlvnnn_,17
971,ce_sunardi,1
972,DilanSomadi,3
973,Bar0q,8
974,Delmar8_,1
975,nyehpong,16
976,Terjalsangar22,2
977,MissKoral,10
978,gunawancrypto,5
979,RestyYa1,11
980,tribunnews,279
981,Golkar2024,37
982,tshirtfactory02,42
983,danidina21,17
984,syarifahpp,1
985,sobat_anies,7
986,julkiflimarbun,1
987,hayanaqu,4
988,MotivatorQurani,2
989,okijogjezz,42
990,DirmanNuari,6
991,mullamoeza,1
992,datukma37848351,3
993,Sudimawan212,1
994,budijantosalim,1
995,kak_alisubchi,1
996,Revenge00810455,4
997,bendolganteng,8
998,fnrrpsha,1
999,Ramay4na,17
1000,instanmobesilen,1
1001,jalanlurus05,12
1002,WildanIlmi1,30
1003,bie_menk,37
1004,ridhorahadi,15
1005,saturdaytia,1
1006,MariaDesti6,1
1007,zamal_wilda,2
1008,Dakenwolve,1
1009,doyeonssiy,1
1010,wildansVedder,1
1011,TirfanP,42
1012,indra_prwr,9
1013,yoga_nugrh,30
1014,JulduzW,24
1015,IAidzan,12
1016,akbarsrgrr,52
1017,HikmaSholeha,6
1018,delapansetengah,1
1019,a7ibayu,1
1020,sutrvey,1
1021,opiniindonesia_,1
1022,rahmadhdyt709,5
1023,jokosantoso_id,5
1024,MgzSlamet,3
1025,Gajebo13668207,1
1026,di_dimu54412940,18
1027,semarakredaksi,23
1028,_bobyalfaro,3
1029,yantireinke,1
1030,ZoelFawzie,8
1031,harras01,1
1032,bertosepi,4
1033,VIVAcoid,244
1034,dkotapadang,2
1035,ganjarterus2,4
1036,Ronnie_Rusli,23
1037,DemokratRiau,10
1038,Demokratmalut14,6
1039,Moechlies_90,1
1040,AnindiraMa,2
1041,MHRAI_Aulia,1
1042,arabellaa30,12
1043,k3yong_nur,3
1044,naslaa4,2
1045,demokratbwi,1
1046,yuni4lways,6
1047,AngaYunasril,1
1048,antbee531,1
1049,danyharto,9
1050,jazcentre,2
1051,Apriliayu9,1
1052,Official3Ato,2
1053,rusAMQ,36
1054,Tempoyack97,1
1055,Azkadin97,3
1056,baiqoni,1
1057,OkaSaptono2,2
1058,TegarTangguh3,1
1059,SAGA_Jatim,4
1060,sukarja,23
1061,RezaPahleviaja,3
1062,BoyRembaya,8
1063,midhangste,2
1064,SniperDroen_,1
1065,JarilangitID,1
1066,AnthonyBudiawan,7
1067,akbarryaz03,6
1068,kba_news,186
1069,SoedjanaDhea,1
1070,ajengcute16__,51
1071,Syah_Syah889,1
1072,bevan_hanie,4
1073,djokoAdv,27
1074,sumpitmerah,1
1075,AinurRafiq78,4
1076,mikuuboyfriend,1
1077,BillyL3illie,2
1078,ArdiansyahIvan,1
1079,ibrahim34677325,3
1080,ArionalSt,1
1081,merdekabrdaulat,15
1082,cecengmuslih,17
1083,Misraze1,1
1084,tri_sus,2
1085,RudidFuad,5
1086,Irawand33,1
1087,GeorgeVanMars,16
1088,emilhalim42,1
1089,DavidGosal4,27
1090,Ophtha2022,1
1091,DwicahyaAnanda,2
1092,DpdBali,11
1093,Makki91439335,5
1094,dhenda_rp,1
1095,YudiSet16452924,74
1096,seloajiwidodo,1
1097,LaNyallaAcademy,39
1098,IxNdheso,41
1099,kawanlangitku,14
1100,liestevan,1
1101,putriteratai25,4
1102,Comel2306,2
1103,BosPurwa,7
1104,papuamuslim95,17
1105,eyang_kidal,25
1106,kalla_jengking,7
1107,KembangBeringin,1
1108,Ireng_Maulana45,16
1109,ZulFajr16267743,1
1110,KasanMulyono,56
1111,STresnowat1,1
1112,BrigadeNasional,1
1113,eranasionalcom,7
1114,auliamed,7
1115,NgawiDemokrat,24
1116,nailaassiffa,1
1117,situbondoPD,31
1118,FayaAtika,6
1119,shesweet87,1
1120,kawankitabangET,3
1121,restunkri1,14
1122,middlejungle,3
1123,Ayangay1,1
1124,bicarabangsa,5
1125,Maruahalsiahaa2,3
1126,Suyanto1997,1
1127,GadisNKRI_,5
1128,wahananewsdotco,186
1129,portalgaruda,1
1130,ihugy2to,1
1131,Ghee_Thok,2
1132,tashaainna,1
1133,win_ardie,21
1134,cagubnyinyir2,207
1135,serambinews,84
1136,Rena_mareta,87
1137,sohiberick,1
1138,cangkiropini,7
1139,offortunitay,1
1140,subagio00,1
1141,HeruSubianto18,1
1142,mistahul8,1
1143,ginalinda22,1
1144,KNataliyanto,1
1145,indowfofficial,54
1146,Spy_Zone85,1
1147,Johan_Ar_,1
1148,Setiabumi1,3
1149,yarachantique,10
1150,NKRIBerbicara,2
1151,DsSupriyady,6
1152,pendoponesia,3
1153,Babeh_Sem,24
1154,IndraNovisi,1
1155,Odhe231,4
1156,ommi_siregar,2
1157,dpc_badung,1
1158,PutraTubaba,34
1159,cakNur97,1
1160,marsusuka,2
1161,KLaraswat1,8
1162,Kusworo47641471,2
1163,namiraf1,1
1164,CapresGolkar,9
1165,AqiLegeg,1
1166,elangnewscom,4
1167,lapmipky,5
1168,Banggai12,4
1169,Lisacie11,4
1170,SariNirmala9,2
1171,adhiyanstori,2
1172,AzzahraFajriani,2
1173,adipatient,1
1174,MuhsyahrirTulo,4
1175,Bintang76288009,4
1176,bhiarayyaamanda,2
1177,DeniSupriyadi06,1
