,usename,count
0,Fuad_Lha9,21
1,iwan_tata98,4
2,Lima8Satu,33
3,21BeritaTerkini,204
4,rezakaisar3,4
5,denni_sauya,48
6,Niki_Mirzaaa,5
7,ricko_liquid,3
8,SINDOnews,390
9,Nhahwa1,3
10,UhirdariatmanA,2
11,BangUmar_,2
12,TEABOBI,7
13,ArahResikInd,27
14,flzshed,2
15,Orlezns,3
16,liputan6dotcom,342
17,alexcandriya,1
18,gladinscot,1
19,jericodoloroso,1
20,ofit_dj,303
21,p_vanillasky,1
22,bacalagersmedia,1
23,intip_solo,242
24,yudianto99,34
25,qospangg,156
26,LathifaYani,44
27,audyaptri_,7
28,Simanjunta9Nico,116
29,vmelia5,17
30,ivih_queen,196
31,sieradwla_,22
32,rizwanme3,94
33,TonoFuller,33
34,RizalCa91348935,2
35,MampusKadrun,1
36,PutriSemesta45,1
37,KoncoAirlangga,57
38,TuaMangasa,1
39,bugiswarta,9
40,Seputar2024,7
41,IndraYael,29
42,_NusantaraKu,30
43,jpnncom,1121
44,KharismaKW,1
45,WawanHector,11
46,suaranasional,80
47,4_gp2024,39
48,nataindonesia,2
49,BincangPemilu,1
50,Novellala2,24
51,Rita_0234,8
52,Riau24Com,182
53,pzlusi,17
54,japarcallus,40
55,toniwijayaa_,29
56,Sherinande1,7
57,ekojhones77,6
58,Lalalisa5Lisa,24
59,alialhabsyi19,2
60,alv_irl,2
61,DipaDuaLima,2
62,satriohendri,10
63,alrasyidstore,1
64,Restu_Ibu_,2
65,adhafakara,72
66,Alberta_sa5,5
67,fajaronline,984
68,riyadisugeng167,219
69,nezl215,62
70,CurhatPolitik,31
71,iwanalidarmawan,3
72,anggar_rismawan,28
73,ClarissaOkta1,6
74,loketpaytren2,1
75,Sucipto_nur5,101
76,miyumiyu45_,25
77,Dorraemon_,22
78,infamousculture,5
79,katinawie7,29
80,PetrukTobat,53
81,BayuGan97311318,2
82,bwinsandi3,156
83,GP_Lombok,2
84,nabillaSN24,135
85,otomoyotoM,5
86,parsya21,12
87,ronitomiy,28
88,KeceJomblo,113
89,Beritasatu,283
90,Kara_Cla,13
91,kaylaa190,97
92,DotSofie,13
93,nurkholis03__,2
94,tribunbalikanal,5
95,Panjianom___,2
96,nmeh0,141
97,RelawanPuan_ID,29
98,andreseptian__,2
99,jawapos,289
100,qqsp_24,23
101,dalem_abdhi,56
102,Sukandramush1,22
103,tiwijibar,18
104,rsaupwr,85
105,panji_sdqi,240
106,wanmohguntar,25
107,give_gifari,143
108,NolpitosH,1
109,duatujuhapril,1
110,justin_6942,106
111,nuyuy_yups,267
112,Kacapecahh_,72
113,HerlinDude,57
114,Sujono_xr,19
115,elf_hubbu,58
116,ohji_09,19
117,nouralee2022,80
118,Anasismail_Real,1
119,Rosanjaya10,87
120,lilianlolanda,191
121,6589O,161
122,Kabelkebakarr,63
123,IiiihhSapa,56
124,wisatasenja,58
125,Jamurkulitt,28
126,alviadty,92
127,Dorirut,1
128,ozil_azrill,10
129,poIisimoral,1
130,qcigbmkpthmlf,1
131,aniwulan21,1
132,leeheekyun291,2
133,Sultannctl,1
134,Bellaa250,1
135,fandyan58,3
136,MelatiGo,2
137,Emily_ch6,1
138,Zehemiari,1
139,RusaIta728857,1
140,qheias,1
141,yarizzasuitalk,1
142,Iv4Cherish,1
143,cozakaaa,1
144,dqiors,2
145,IsadoraAtti,1
146,siipplahh,70
147,kxopisusu,2
148,Grasyia1,1
149,ArdianusTameon,3
150,vitamindann,1
151,EndarSrigiati,1
152,Rizal_Sub002,1
153,blooming63,1
154,kannyy44,1
155,jodybibu,3
156,Selendangmaya17,2
157,kasuarisaja,1
