,date,username,tweet
67,2023-05-30 16:50:30+00:00,radiefrmadna,iya soh mosok cawecawe pilpres nyuruh rakyat milih gp ps
68,2023-05-30 16:43:24+00:00,Yantidaryanti,yg diinginkn jkw spy masy gk belah sisa pilpres ttpi hsil surves
70,2023-05-30 16:16:05+00:00,_01tikusberdasi,idih menang pilpres
71,2023-05-30 16:15:04+00:00,as_siglie,gibran makan garam diplotingnya jurkam pilpres berdampa
72,2023-05-30 16:13:34+00:00,labirin37066896,gw udah cape moga udah lengser tuh presiden
73,2023-05-30 16:10:15+00:00,Putrasagita5,sdh utk jelang thn kl sengketa pilpres lbh ngga aju mk
75,2023-05-30 16:05:16+00:00,kariango_,yg klarifikasi tetep aja rakyat tau jokowi campur pilpres
76,2023-05-30 16:01:44+00:00,ujungnyamati,rt postingan edorgan kalah survey menang pilpres turkiye trus insyaalloh anies presiden ri perta
77,2023-05-30 16:01:12+00:00,NastarBubuk,udah yg antem gara pilpres blm
78,2023-05-30 16:00:14+00:00,Pt0nks1matupang,malam influencer yg kenal republik ten
80,2023-05-30 15:58:55+00:00,aswin2211,kayak ngga aja opah prabowo jelang pilpres rajin foto bareng sanasini
84,2023-05-30 15:35:13+00:00,alexander_sakti,dukung yohanies pilpres selenggara dgn brutal bukti pilkada dki
89,2023-05-30 15:33:17+00:00,SingoYudho_,gibran helat pilpres gibran gerus suara
90,2023-05-30 15:31:05+00:00,dsuphi,rt jokowi prabowo lucut pengaruh megawati wajar loyalis ngamukby faizal assegaf kritikusberbeda pilpres
91,2023-05-30 15:29:31+00:00,curutonline,ane sich yes cipta iklim pilpres yg cepat
94,2023-05-30 15:27:27+00:00,TunayVallen,bapa anies baswedan tarung pilpres jakarta aja bapa pe
120,2023-05-30 15:16:44+00:00,sinerimzulk86,milih jokowi jdi ga beban moril yg biar
135,2023-05-30 15:07:06+00:00,ra79828002,fikir pilpres nggak krusial dst nggak ngerti dem
136,2023-05-30 15:03:25+00:00,AndreasBayuSapu,ridwan kamil tugas wakil ketua umum golkar bidang galang pilih cochair badan pemenanga
138,2023-05-30 15:00:45+00:00,AryantoDwisapu1,liat aja pilpres anies menang kalo anies ga menang yg menang ganjar pranowo
139,2023-05-30 14:58:36+00:00,hi_ikan_peda,iya kalo ngak jokowi bu mega yg rangkul prabowo halu karna pilpres uda gi
141,2023-05-30 14:57:12+00:00,visiau,rt presiden sikap pilpres allah pimpin
142,2023-05-30 14:52:39+00:00,zulfadli777,telinga tolong buka lebar boss junjung lhu
143,2023-05-30 14:51:27+00:00,nu54428856541,maklumat yg kader urus partai tk daerah tahun
146,2023-05-30 14:42:40+00:00,ElizarIrnold,sdh baca berita blm bong tuh jokowi bilang ga netral
