,date,username,tweet
31,2023-05-30 19:56:10+00:00,driveronline_17,@Tuti_embeeeeer @AntiPekines @DrEvaChaniago @Nurmantyo_Gatot Covid 19 bermula dr china. Strain galur murni C19 past… https://t.co/INPHOAhNa1
32,2023-05-30 19:38:25+00:00,HILARlO,"@Opposite6B90 Jika Prabowo-Muhaimin menang Pilpres 2024, itu membuktikan bahwa bangsa ini kalo bukan bangsa pemaaf ya bangsa pelupa"
33,2023-05-30 19:16:02+00:00,alesson2014,"RT @josephrizal810: @PDI_Perjuangan @ganjarnesia Ganjar adlh satunya pilihan bagi kita yg nasionalis dan rasionalisasi, sebab kita menolak…"
34,2023-05-30 19:12:41+00:00,ANWARZ43N,"RT @PutraErlangga95: Hii tweps mari kita polling lagi okey,
Kalau Pilpres 2024 ada Tiga Capres maka anda akan pilih?

Setelah vote jangan l…"
35,2023-05-30 19:09:54+00:00,ikblrmdhn4,"""Sebagaimana kalian ketahui saya sudah dicalonkan oleh Partai Gerakan Indonesia Raya untuk maju lagi di Pilpres 202… https://t.co/FX8DKX6ubE"
36,2023-05-30 19:02:33+00:00,indaniaa_,"Rekam jejak sejak Pilpres 2014, Prabowo sudah dikenal mengangkat ekonomi rakyat. pilpres2024 dekade08 mendingprabowo terusmajubersamaprabowo"
37,2023-05-30 18:58:33+00:00,josephrizal810,@IMCMushroom Ganjar atuhhhh yg satu radikal yg satu langganan kalah pilpres dan tdk mau ngaku kalah inget 22 mei 2019
38,2023-05-30 18:54:45+00:00,syafaulll_,Firman Soebagyo tak menepis agar Airlangga Hartarto bisa menjadi bakal cawapres Prabowo Subianto di Pilpres 2024. p… https://t.co/qWiANpKsXa
39,2023-05-30 18:52:32+00:00,neifandino,Jerry juga merespons soal kemungkinan Prabowo Subianto yang akan berduet dengan Airlangga di Pilpres 2024. pilpres2… https://t.co/Bw1yPRHGJ8
40,2023-05-30 18:51:57+00:00,neurellia,Elite Golkar Bicara Kans Duet Prabowo-Airlangga di Pilpres 2024. pilpres2024 dekade08 mendingprabowo terusmajubersamaprabowo
41,2023-05-30 18:46:06+00:00,B_Hendratmo1,"@Chaves1305 Keren beut wey 🤣👍👍

Semoga berkah MENANG Pilpres Bp Prabowo Subianto 🙏🇮🇩👍"
42,2023-05-30 18:45:58+00:00,ApreliHeni,"Wih, elite Golkar lagi bahas duet Prabowo-Airlangga di Pilpres 2024. pilpres2024 dekade08 mendingprabowo terusmajubersamaprabowo"
43,2023-05-30 18:35:02+00:00,zarasyazakia,"""Sebagaimana kalian ketahui saya sudah dicalonkan oleh Partai Gerakan Indonesia Raya untuk maju lagi di Pilpres 202… https://t.co/sPS4utynjY"
44,2023-05-30 18:34:18+00:00,DeaYunit_,Jawaban Prabowo Ketika Diejek Gak Pernah Menang di Pilpres: Prajurit Dididik Untuk Tidak Pantang Menyerah!. pilpres… https://t.co/8zq1kRjg4t
45,2023-05-30 18:28:32+00:00,josephrizal810,"@PDI_Perjuangan @ganjarnesia Ganjar adlh satunya pilihan bagi kita yg nasionalis dan rasionalisasi, sebab kita meno… https://t.co/OwyfsCGBeR"
46,2023-05-30 18:26:08+00:00,sekarriniken,"Rekam jejak sejak Pilpres 2014, Prabowo Subianto sudah dikenal mengangkat ekonomi rakyat. pilpres2024 dekade08 mend… https://t.co/U7L36R0epA"
47,2023-05-30 18:23:22+00:00,DinaMrvina,@Ganjaran_app Mudah-mudahan di pilpres 2024 nanti pak ganjar terpilih menjadi presiden
48,2023-05-30 18:19:54+00:00,Stevan_03jr,"@sutanmangara Bener yg selama ini menang survey kan anies, semoga kalah pilpres amiiinnn"
49,2023-05-30 18:17:40+00:00,ardeliadanica71,Firman Soebagyo tak menepis agar Airlangga Hartarto bisa menjadi bakal cawapres Prabowo Subianto di Pilpres 2024 me… https://t.co/IUTjBoA7e1
50,2023-05-30 18:16:53+00:00,OleanderRostova,RT @rendi078: @ricuhrd @Sofwan2310 @Aggiladitia @denismalhotra Maunya langsung anies mas ga usah pilpres. 🤣🤣🤣🤣
51,2023-05-30 18:15:58+00:00,kalilanoviyanti,Jerry juga merespons soal kemungkinan Prabowo yang akan berduet dengan Airlangga di Pilpres 2024. pilpres2024 dekad… https://t.co/irIn1tZr57
52,2023-05-30 18:15:50+00:00,IndaniyahS,Elite Golkar Bicara Kans Duet Prabowo-Airlangga di Pilpres 2024 mendatang. pilpres2024 dekade08 mendingprabowo terusmajubersamaprabowo
53,2023-05-30 18:03:53+00:00,rendi078,@ricuhrd @Sofwan2310 @Aggiladitia @denismalhotra Maunya langsung anies mas ga usah pilpres. 🤣🤣🤣🤣
54,2023-05-30 18:03:17+00:00,ArrivaldiHd,@Ganjaran_app kami semua optimis kalau pak ganjar akan memenangkan pilpres 2024 nanti
